direccion,barrio,Comuna,materiales
AGUIRRE 1447,CHACARITA,Comuna 15,Papel / Cartón
BERMUDEZ 1697,MONTE CASTRO,Comuna 10,Papel / Cartón
CACHI 163,NUEVA POMPEYA,Comuna 4,Papel / Cartón / Plástico / Metal / Vidrio
CERVANTES 3896,VILLA DEVOTO,Comuna 11,Papel / Cartón
CASTILLO 77,VILLA CRESPO,Comuna 15,Papel / Cartón
CASTILLO 359,VILLA CRESPO,Comuna 15,Papel / Cartón
CASTILLO 441,VILLA CRESPO,Comuna 15,Papel / Cartón
CASTILLO 1302,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
CASTILLO 1538,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
CASTILLO 1748,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
CASTRO 1038,BOEDO,Comuna 5,Papel / Cartón / Plástico / Metal / Vidrio
CASTRO 1212,BOEDO,Comuna 5,Papel / Cartón / Plástico / Metal / Vidrio
CASTRO 1538,BOEDO,Comuna 5,Papel / Cartón / Plástico / Metal / Vidrio
CASTRO 1860,BOEDO,Comuna 5,Papel / Cartón / Plástico / Metal / Vidrio
CASTRO 2136,BOEDO,Comuna 5,Papel / Cartón / Plástico / Metal / Vidrio
CORRALES 6995,VILLA RIACHUELO,Comuna 8,Papel / Cartón / Plástico / Metal / Vidrio
CERVANTES 1736,MONTE CASTRO,Comuna 10,Papel / Cartón
FRAGA 411,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRAGA 671,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRAGA 982,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRAGA 1080,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRAGA 1274,VILLA ORTUZAR,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRAGA 1450,VILLA ORTUZAR,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRAGA 1830,VILLA ORTUZAR,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
FRANKLIN 1712,FLORES,Comuna 7,Papel / Cartón / Plástico / Metal / Vidrio
FRANKLIN 1926,FLORES,Comuna 7,Papel / Cartón / Plástico / Metal / Vidrio
FRANKLIN 2140,FLORES,Comuna 7,Papel / Cartón / Plástico / Metal / Vidrio
FRANKLIN 2330,FLORES,Comuna 7,Papel / Cartón / Plástico / Metal / Vidrio
GUEVARA 29,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
GUEVARA 365,CHACARITA,Comuna 15,Papel / Cartón / Plástico / Metal / Vidrio
